whales	boats	dist.shore
2	1	208.094359133393
3	1	421.496182093397
7	0	523.425340782851
1	1	245.135761201382
4	0	166.046056291088
2	1	428.465282060206
3	2	352.302393075079
0	5	475.491488380358
0	2	540.860055051744
0	5	168.599328221753
0	5	240.245377821848
1	2	335.825808793306
7	0	260.097768204287
0	2	366.036043697968
8	0	235.540981041268
1	3	208.825092930347
0	5	290.51132870838
0	6	510.662699490786
0	7	364.165923735127
0	7	490.558929508552
0	5	511.691130436957
0	5	437.108426969498
0	5	212.989720441401
0	6	219.315607938915
0	6	181.59282672219
3	2	331.16209577769
0	5	312.461218237877
6	0	545.024221353233
1	2	182.442120881751
12	0	540.190710891038
7	0	315.681444685906
9	0	146.119488412514
0	5	241.065641287714
6	0	133.705234089866
0	6	126.372231272981
5	0	334.354372741655
9	0	381.866714125499
4	0	383.055336205289
5	0	294.979426581413
5	0	294.605374662206
1	2	479.073470523581
0	5	223.487451914698
0	5	483.822908280417
0	5	354.729409860447
0	6	528.734794007614
10	0	361.909679267555
2	3	454.462711801752
7	0	150.144295459613
10	0	469.188109179959
11	0	398.433508211747
